Type,SKU,Name,Description,Regular price,Categories,Images,Parent,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
simple,102551,"Rejilla escurridora para rodillos, TRUPER","Rejilla escurridora para rodillos, TRUPER",75.0,FERRETERÍA > Albañilería,"https://www.truper.com/media/import/imagenes/REPI-19.jpg, https://www.truper.com/media/import/imagenes/REPI-19+EI1.jpg, https://www.truper.com/media/import/imagenes/REPI-19+EM1.jpg, https://www.truper.com/media/import/imagenes/REPI-19+E1.jpg, https://www.truper.com/media/import/imagenes/REPI-19+FC1.jpg, https://www.truper.com/media/import/imagenes/REPI-19+FC2.jpg, https://www.truper.com/media/import/imagenes/REPI-19+FC3.jpg",,,,,
simple,102672,"Barreta de uña de 7/8"" x 105 cm, TRUPER EXPERT","Barreta de uña de 7/8"" x 105 cm, TRUPER EXPERT",280.17,FERRETERÍA > Manuales,"https://www.truper.com/media/import/imagenes/BU-105X.jpg, https://www.truper.com/media/import/imagenes/BU-105X+FC1.jpg, https://www.truper.com/media/import/imagenes/BU-105X+FC2.jpg",,,,,
simple,102681,"Pinza ponchadora, 3 módulos","Pinza ponchadora, 3 módulos",331.9,FERRETERÍA > Manuales,"https://www.truper.com/media/import/imagenes/PRJ-3.jpg, https://www.truper.com/media/import/imagenes/PRJ-3+E1.jpg, https://www.truper.com/media/import/imagenes/PRJ-3+FC1.jpg, https://www.truper.com/media/import/imagenes/PRJ-3+FC2.jpg",,,,,
simple,102965,"Talacho-pico 2.5 lb, mango de madera 36"", TRUPER","Talacho-pico 2.5 lb, mango de madera 36"", TRUPER",306.03,FERRETERÍA > Jardinería,https://www.truper.com/media/import/imagenes/TP-2.5MM.jpg,,,,,
simple,103015,"Machete doble filo 10"", cacha inyectada, con funda, TRUPER","Machete doble filo 10"", cacha inyectada, con funda, TRUPER",211.21,FERRETERÍA > Manuales,"https://www.truper.com/media/import/imagenes/MACH-10X.jpg, https://www.truper.com/media/import/imagenes/MACH-10X+E1.jpg, https://www.truper.com/media/import/imagenes/MACH-10X+FC1.jpg, https://www.truper.com/media/import/imagenes/MACH-10X+FC2.jpg",,,,,
simple,103018,"Broca multimaterial 5/32 x 6"", TRUPER","Broca multimaterial 5/32 x 6"", TRUPER",42.24,FERRETERÍA > Accesorios,https://www.truper.com/media/import/imagenes/BMC-5-32X6.jpg,,,,,
simple,1030181,Adhesivo mont clavos 140g,ADHESIVO MONT CLAVOS 140G,,FERRETERÍA > Ferretería general,"https://m.media-amazon.com/images/I/71+RvRp9CML._AC_UF894,1000_QL80_.jpg",,,,,
simple,103025,"Estuche con 50 puntas de cruz PH2 de impacto largo 2""","Estuche con 50 puntas de cruz PH2 de impacto largo 2""",456.03,FERRETERÍA > Accesorios,"https://www.truper.com/media/import/imagenes/PUDE-1202-50I.jpg, https://www.truper.com/media/import/imagenes/PUDE-1202-50I+D1.jpg, https://www.truper.com/media/import/imagenes/PUDE-1202-50I+D2.jpg, https://www.truper.com/media/import/imagenes/PUDE-1202-50I+E1.jpg, https://www.truper.com/media/import/imagenes/PUDE-1202-50I+FC1.jpg, https://www.truper.com/media/import/imagenes/PUDE-1202-50I+FC2.jpg",,,,,
simple,103025INDI,1 pieza punta de cruz PH2 de impacto largo 2',1 PIEZA PUNTA DE CRUZ PH2 DE IMPACTO LARGO 2',9.1206,FERRETERÍA > Accesorios,"https://m.media-amazon.com/images/I/71Y+KZM5q3L._AC_UF894,1000_QL80_.jpg",,,,,
simple,103076,"Sellador acrílico de 280 ml, negro, TRUPER","Sellador acrílico de 280 ml, negro, TRUPER",62.07,FERRETERÍA > Albañilería,"https://www.truper.com/media/import/imagenes/SACRI-100N.jpg, https://www.truper.com/media/import/imagenes/SACRI-100N+EI1.jpg, https://www.truper.com/media/import/imagenes/SACRI-100N+EIND1.jpg, https://www.truper.com/media/import/imagenes/SACRI-100N+EM1.jpg, https://www.truper.com/media/import/imagenes/SACRI-100N+FC1.jpg",,,,,
