======================================================================
REPORTE COMPARACIÓN DE SKUs
Lista oficial: Lista de precios de venta-categoria.xls  (2293 SKUs)
CSV final    : woocommerce_FINAL.csv  (2477 SKUs)
======================================================================

COINCIDENCIAS: 2292 SKUs estan en ambos archivos

EN LISTA PERO NO EN CSV (1 productos):
   Estos productos existen en la lista oficial pero faltan en el CSV final:
   SKU                  Nombre en lista
   -------------------- ----------------------------------------
   Se imprimieron 2292 Productos 

EN CSV PERO NO EN LISTA (185 productos):
   Estos SKUs están en el CSV pero NO aparecen en la lista oficial:
   (pueden ser variaciones -BASE, o productos eliminados)
   SKU                       Type         Nombre en CSV
   ------------------------- ------------ -----------------------------------
   CTPV0001-BASE             variable     Conector PVC T. Pesado
   CTSR0001-BASE             variable     Conector con Tornillo
   CTUR0001-BASE             variable     Conector Uso Rudo
   CTVCL10-BASE              variable     Conector Vcl
   CTWP0001-BASE             variable     Conector Wp
   CTZA0001-BASE             variable     Conector Zapa Recto
   CTZA0016-BASE             variable     Conector Zapa Curvo
   CXLPDRS012-BASE           variable     Cable Xlp Drs Al Sub (3+1) Cal
   Código                    simple       Nombre(prod)
   D416V-BASE                variable     Destornillador con Mango Dieléctrico , P
   EDB14020-BASE             variable     Interruptor para nf 1x
   EDB34020-BASE             variable     Interruptor para tablero Nf 3f
   FA34040-BASE              variable     Interruptor Fa 3f para i Line
   FAL36050-BASE             variable     Interruptor Fal 3f
   FKSF1265-BASE             variable     Panel LED Sobrepuesto (6500k)
   FKSNEO0001-BASE           variable     Manguera LED () Controlador y Pin
   FKSPRO050-BASE            variable     Reflector LED
   FKSS1265-BASE             variable     Panel LED Slim (6500k)
   FKSTRI12-BASE             variable     Panel LED Slim Tricolor
   FOAM0003-BASE             variable     Foco Aditivo Metalico
   FULG0006-BASE             variable     Contacto Chino Colgante 2p, 3h, , 220v
   FULM0001-BASE             variable     Fulminante Calibre 22 Ramset
   HDL36050-BASE             variable     Interruptor Hdl 3f 600v
   HDL36100-BASE             variable     Interruptor Hdl 3p 600v
   HG36125-BASE              variable     Interruptor Hga 3p 600v
   JDL36200-BASE             variable     Interruptor Jdl 3f
   KAL36125-BASE             variable     Interruptor Kal 3f 600v
   LAL36300-BASE             variable     Interruptor Lal 3p 600v
   LEVI0004-BASE             variable     Contacto Doble 2p 15a 125v 5325w
   LEVI0040-BASE             variable     Clavija Recta 2p 3h 125v L5-15p
   LEVI0060-BASE             variable     Clavija China Metal 2p, 3h, , 127v
   LUMI0011-BASE             variable     Luminaria Redonda Colgante LED Integrado
   MONI0001-BASE             variable     Monitor
   MORD0003-BASE             variable     Mordaza Acero x 3/8"
   MR16LED6B-BASE            variable     Lámpara MR16 LED Luz Blanca
