SKU,Name,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 2 name,Attribute 2 value(s)
10045633,REELE SOBRECARGA 4-6.3A*,REELE SOBRECARGA 4-6.3A*,0.0,,"https://m.media-amazon.com/images/I/71fE-5EGHRL._AC_UF894,1000_QL80_.jpg",Marca,,Medida,
10045635,REELE SOBRECARGA 55-70A*,REELE SOBRECARGA 55-70A*,0.0,,"https://m.media-amazon.com/images/I/71fE-5EGHRL._AC_UF894,1000_QL80_.jpg",Marca,,Medida,
10045715,CONTACTO AUX LATERAL BCXML11*,CONTACTO AUX LATERAL BCXML11*,0.0,,"https://m.media-amazon.com/images/I/61W8GZ+VxCL._AC_UF894,1000_QL80_.jpg",Marca,,Medida,
10046936,FIXACAO BFRDWA160*,FIXACAO BFRDWA160*,0.0,,,Marca,,Medida,
10047123,REELE SOBRECARGA 440-480V,REELE SOBRECARGA 440-480V,,,"https://m.media-amazon.com/images/I/71fE-5EGHRL._AC_UF894,1000_QL80_.jpg",Marca,,Medida,
100506,"Estuche con 6 puntas planas combinadas largo 2"", EXPERT","Estuche con 6 puntas planas combinadas largo 2"", EXPERT",56.03,,"https://www.truper.com/media/import/imagenes/PUN-6PL2.jpg, https://www.truper.com/media/import/imagenes/PUN-6PL2+EI1.jpg, https://www.truper.com/media/import/imagenes/PUN-6PL2+EIND1.jpg, https://www.truper.com/media/import/imagenes/PUN-6PL2+EM1.jpg, https://www.truper.com/media/import/imagenes/PUN-6PL2+E1.jpg, https://www.truper.com/media/import/imagenes/PUN-6PL2+FC1.jpg, https://www.truper.com/media/import/imagenes/PUN-6PL2+FC2.jpg",Marca,,Medida,
100661,"Rollo de 5 m de lija para plomero grano 120 ancho 1-1/2""","Rollo de 5 m de lija para plomero grano 120 ancho 1-1/2""",60.34,,https://www.truper.com/media/import/imagenes/LIPL-120-1-1-2X5.jpg,Marca,,Medida,
100815,"Juego de 4 brocasierras bimetálicas y 1 mandril, EXPERT","Juego de 4 brocasierras bimetálicas y 1 mandril, EXPERT",133.5,,"https://www.truper.com/media/import/imagenes/KITB-5X.jpg, https://www.truper.com/media/import/imagenes/KITB-5X+EI1.jpg, https://www.truper.com/media/import/imagenes/KITB-5X+EIND1.jpg, https://www.truper.com/media/import/imagenes/KITB-5X+EM1.jpg, https://www.truper.com/media/import/imagenes/KITB-5X+FC1.jpg",Marca,,Medida,
100817,"Llave p/manguera, de latón, 140g, 1/2"", granel, TRUPER","Llave p/manguera, de latón, 140g, 1/2"", granel, TRUPER",81.9,,"https://www.truper.com/media/import/imagenes/LLJ-140T.jpg, https://www.truper.com/media/import/imagenes/LLJ-140T+EI1.jpg, https://www.truper.com/media/import/imagenes/LLJ-140T+EM1.jpg, https://www.truper.com/media/import/imagenes/LLJ-140T+E1.jpg, https://www.truper.com/media/import/imagenes/LLJ-140T+E2.jpg, https://www.truper.com/media/import/imagenes/LLJ-140T+FC1.jpg, https://www.truper.com/media/import/imagenes/LLJ-140T+FC2.jpg",Marca,,Medida,
100822,"Estuche con 4 dados magnéticos de impacto 3/8"" largo 2-1/2""","Estuche con 4 dados magnéticos de impacto 3/8"" largo 2-1/2""",107.76,,"https://www.truper.com/media/import/imagenes/PUDE-9027I.jpg, https://www.truper.com/media/import/imagenes/PUDE-9027I+E1.jpg, https://www.truper.com/media/import/imagenes/PUDE-9027I+FC1.jpg, https://www.truper.com/media/import/imagenes/PUDE-9027I+FC2.jpg, https://www.truper.com/media/import/imagenes/PUDE-9027I+FC3.jpg",Marca,,Medida,
101101,"Navaja abatible 6"" cuerpo de aluminio y acero inox, TRUPER","Navaja abatible 6"" cuerpo de aluminio y acero inox, TRUPER",168.1,,"https://www.truper.com/media/import/imagenes/NV-6X.jpg, https://www.truper.com/media/import/imagenes/NV-6X+EI1.jpg, https://www.truper.com/media/import/imagenes/NV-6X+EIND1.jpg, https://www.truper.com/media/import/imagenes/NV-6X+EM1.jpg, https://www.truper.com/media/import/imagenes/NV-6X+E1.jpg, https://www.truper.com/media/import/imagenes/NV-6X+FC1.jpg, https://www.truper.com/media/import/imagenes/NV-6X+FC2.jpg",Marca,,Medida,
101257,"Casco de seguridad ventilado, ajuste de matraca, amarillo","Casco de seguridad ventilado, ajuste de matraca, amarillo",119.83,,"https://www.truper.com/media/import/imagenes/CAS-AI.jpg, https://www.truper.com/media/import/imagenes/CAS-AI+D1.jpg, https://www.truper.com/media/import/imagenes/CAS-AI+D2.jpg, https://www.truper.com/media/import/imagenes/CAS-AI+EI1.jpg, https://www.truper.com/media/import/imagenes/CAS-AI+EIND1.jpg, https://www.truper.com/media/import/imagenes/CAS-AI+E1.jpg, https://www.truper.com/media/import/imagenes/CAS-AI+FC1.jpg",Marca,,Medida,
