Marca/Grupo,SKU,Nombre,Precio,Categorias
EATON/COOPER,EATO0006,PLACA NARANJA P/CONT DUPLEX TIERRA AISLADA IG5132RN*,93.0,
EATON/COOPER,EATO0010,PLACA P/CONT DUPLEX ACERO INOX 93101BOX1*,48.16,
EATON/COOPER,COOP0012,REFLECTOR PARA EXTERIOR 10 LUM SELECCIONABLE LAS45S-T3 COOPE,,
EATON/COOPER,COOP0004,TAPA INTERPERIE SENCILLA*,39.57,
EATON/COOPER,COOP0003,TAPA PLASTICA DUPLEX 2H MARFIL*,15.0,
EATON/COOPER,COOP0010,TAPA p/CONTACTO INDUSTRIAL AH2140*,471.44,
EATON/COOPER,COOP0013,WALLPACK 5000K 81W MCA COOPER LIGTHING 8XTOR8BRL,,
ESTEVEZ,ESTE0007,BASE-LIGHT-CCT 120CM 36W LED CCT,,
ESTEVEZ,ESTE0024,CENTRO DE CARGA EQD-6E,660.45,
ESTEVEZ,ESTE0025,CENTRO DE CARGA EQD-6S*,660.45,
ESTEVEZ,ESTE0026,CENTRO DE CARGA EQD-8E*,859.95,
ESTEVEZ,ESTE0027,CENTRO DE CARGA EQD-8S*,859.95,
ESTEVEZ,ESTE0001,EP115C ITM 1X15 CURVA C ESTEVEZ*,98.7,
ESTEVEZ,ESTE0003,EP130C ITM 1X30 CURVA C ESTEVEZ*,111.3,
ESTEVEZ,ESTE0004,EP140C ITM 1X40 CURVA C ESTEVEZ,111.3,
ESTEVEZ,ESTE0005,EP150C ITM 1X50 CURVA C ESTEVEZ*,111.3,
ESTEVEZ,ESTE0013,EP230C ITM 2X30 CURVA C ESTEVEZ*,248.85,
ESTEVEZ,ESTE0014,EP240C ITM 2X40 CURVA C ESTEVEZ*,248.85,
ESTEVEZ,ESTE0015,EP250C ITM 2X50 CURVA C ESTEVEZ*,248.85,
FOKASU,FKSS1865,PANL LED SLIM 18W FOKASU,141.22,
GENERAL ELECTRIC,TEY130,INTERRUPTOR 1X30 AMP 480V G.E. TEY130,464.63,
GENERAL ELECTRIC,TEY340,INTERRUPTOR 3X40 AMP 480V G.E. TEY131*,9905.63,
GENERAL ELECTRIC,QOGE130,INTERRUPTOR GE 1X30A,116.415,
GENERAL ELECTRIC,QOGE220,INTERRUPTOR GE 2x20A,282.39,
GENERAL ELECTRIC,MORD0001,MORDAZA DE VIGA P/UNICANAL LU2785GE,101.25,
GENERICO (ADHESIVOS),1030181,ADHESIVO MONT CLAVOS 140G,,
GENERICO (ADHESIVOS),CANA0005,CANALETA 20X17 C/ADHESIVO 2 MTS*,35.0,
GENERICO (ADHESIVOS),CANA0006,CANALETAS 35 X 17 SIN ADHESIVO 2.5 MT DIVIDIDA,72.41,
GENERICO (ADHESIVOS),CEME0004,PEGAMENTO 711 1L P/HID. GRIS,651.525,
